O*NET-SOC Code,Title,Workplace Example,Element ID,Element Name,Hot Technology,In Demand
15-1252.00,Software Developers,Microsoft SQL Server Reporting Services SSRS,2.E.6.e,Data base reporting software,Y,N
15-1252.00,Software Developers,Microsoft Team Foundation Server,2.E.1.e,Project management software,Y,N
15-1252.00,Software Developers,Microsoft Teams,2.E.1.e,Project management software,Y,N
15-1252.00,Software Developers,Microsoft transact-structural query language T-SQL,2.E.6.d,Data base management system software,N,N
15-1252.00,Software Developers,Microsoft Visio,2.E.1.p,Process mapping and design software,Y,N
15-1252.00,Software Developers,Microsoft Visual Basic,2.E.7.b,Development environment software,Y,N
15-1252.00,Software Developers,Microsoft Visual Basic for Applications VBA,2.E.7.b,Development environment software,Y,N
15-1252.00,Software Developers,Microsoft Visual Basic Scripting Edition VBScript,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Microsoft Visual Basic.NET,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Microsoft Visual C# .NET,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Microsoft Visual Studio,2.E.7.b,Development environment software,Y,N
15-1252.00,Software Developers,Microsoft Windows,2.E.13.c,Operating system software,Y,N
15-1252.00,Software Developers,Microsoft Windows Server,2.E.13.c,Operating system software,Y,N
15-1252.00,Software Developers,Microsoft Word,2.E.4.d,Word processing software,Y,N
15-1252.00,Software Developers,MicroStrategy,2.E.6.m,Business intelligence and data analysis software,N,N
15-1252.00,Software Developers,Migration software,2.E.12.m,Platform interconnectivity software,N,N
15-1252.00,Software Developers,Migration testing software,2.E.7.f,Program testing software,N,N
15-1252.00,Software Developers,Minitab,2.E.9.d,Analytical or scientific software,N,N
15-1252.00,Software Developers,Modula,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,MongoDB,2.E.6.d,Data base management system software,Y,N
15-1252.00,Software Developers,Moodle,2.E.8.b,Computer based training software,N,N
15-1252.00,Software Developers,MuleSoft software,2.E.7.c,Enterprise application integration software,N,N
15-1252.00,Software Developers,MUMPS M,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Mutation testing software,2.E.7.f,Program testing software,N,N
15-1252.00,Software Developers,MySQL,2.E.6.f,Data base user interface and query software,Y,N
15-1252.00,Software Developers,Nagios,2.E.11.a,Network monitoring software,N,N
15-1252.00,Software Developers,National Instruments LabVIEW,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,NetSuite ERP,2.E.2.b,Enterprise resource planning ERP software,N,N
15-1252.00,Software Developers,Node.js,2.E.7.h,Web platform development software,Y,Y
15-1252.00,Software Developers,NortonLifeLock cybersecurity software,2.E.14.d,Transaction security and virus protection software,N,N
15-1252.00,Software Developers,NoSQL,2.E.6.d,Data base management system software,Y,Y
15-1252.00,Software Developers,Oberon,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Object Management Group Object Request Broker,2.E.6.l,Transaction server software,N,N
15-1252.00,Software Developers,Objective C,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Objective Caml,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Open Graphics Library OpenGL,2.E.4.b,Graphics or photo imaging software,N,N
15-1252.00,Software Developers,OpenAI ChatGPT,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Operating system shells,2.E.13.c,Operating system software,N,N
15-1252.00,Software Developers,Oracle Application Server,2.E.10.a,Application server software,N,N
